description,priority,parity
"@Transactional is causing performance degradation because transaction spans entire method including external API calls. We need to reduce transaction scope, move I/O outside transaction, and add transaction duration monitoring.",high,
"Spring Cloud Kubernetes is failing to discover services because namespace isn't configured correctly. We need to set spring.cloud.kubernetes.discovery.namespaces, validate RBAC, and add service discovery tests.",medium,
"@Cacheable is causing memory leak because cache isn't bounded and entries never expire. We need to configure Caffeine with max size and TTL, implement eviction policy, and add cache size monitoring.",high,
"Spring Boot is failing to start because spring.factories contains duplicate entries after merging dependencies. We need to deduplicate service files, configure build plugin transformers, and validate classpath integrity.",medium,
"@Scheduled isn't respecting timezone because zone attribute isn't set, causing tasks to run at wrong time in different regions. We need to specify timezone, validate cron execution, and add scheduler timezone tests.",medium,
"Spring Data JPA is failing to persist entity because @GeneratedValue strategy mismatches database dialect. We need to align strategy with DB, validate ID generation, and add persistence tests.",high,
"@Async isn't working because proxy target class isn't enabled and interface isn't used. Methods execute synchronously. We need to enable proxyTargetClass=true, use interfaces, and validate async execution.",medium,
"Spring Cloud Config is failing to load profile-specific files because naming convention isn't followed. We need to use application-{profile}.yml, validate file structure, and add config loading tests.",low,
"@Transactional is causing connection pool exhaustion because long-running transactions hold connections idle. We need to split transactions, implement timeout, and monitor connection hold time.",high,
"Spring Boot is failing to parse application.properties because of invalid escape sequences. We need to fix escaping, validate property files, and add configuration linting to CI.",low,
"@CacheEvict isn't working because key expression uses wrong parameter name. Cache entries persist. We need to fix SpEL expression, validate eviction, and add cache consistency tests.",medium,
"Spring Data MongoDB is failing because @Id field type mismatches database type, causing conversion errors. We need to align types, configure converters, and add ID mapping tests.",medium,
"@EnableAspectJAutoProxy isn't detecting aspects because package scanning doesn't include aspect classes. We need to adjust component scan, validate aspect registration, and add AOP integration tests.",medium,
"Spring Cloud Gateway is failing to forward headers because StripPrefix filter removes required path segments. We need to adjust filter order, validate header propagation, and add gateway routing tests.",medium,
"@Transactional is causing OptimisticLockingFailureException because version field isn't incremented correctly. We need to add @Version, validate concurrency control, and add optimistic lock tests.",high,
"Spring Boot is failing to start because server.servlet.context-path conflicts with actuator base path. We need to separate paths, validate routing, and add context path tests.",medium,
"@Async methods are losing MDC context because thread local isn't propagated. We need to implement TaskDecorator, configure MDC propagation, and validate logging context in async flows.",medium,
"Spring Data JPA is failing to delete entity because of foreign key constraint violation. We need to configure cascade delete, handle constraints explicitly, and add deletion tests.",high,
"@ConfigurationProperties isn't binding because prefix doesn't match property names. We need to align prefix, validate binding, and add property mapping tests.",low,
"Spring Cloud Stream is failing to acknowledge messages because listener container isn't configured for manual ack. We need to set ack-mode=MANUAL, implement ack logic, and validate message processing.",high,
